Country,anchor_year,forecast_year_plus1,pred_rf_plus1,forecast_year_plus5,pred_rf_plus5,forecast_year_plus10,pred_rf_plus10
Cameroon,2017,2018,30.648918766345297,2022,32.07492799769762,2027,28.98361326308451
Canada,2017,2018,2.0525906143336625,2022,2.3038281376582614,2027,5.116244887594418
Central African Republic,2017,2018,12.334262269953312,2022,8.473117792749902,2027,8.95716480400971
Chad,2017,2018,3.4175271031012526,2022,2.9361547642114156,2027,4.432442285300395
Chile,2017,2018,4.8163409689911525,2022,3.794067970112975,2027,5.454471773300409
China,2017,2018,5.123736212641367,2022,6.121222136175791,2027,8.871545723675839
Colombia,2017,2018,33.7180485647691,2022,35.113019917157885,2027,50.489244124901916
Comoros,2017,2018,0.22323558274531535,2022,0.3358249358647653,2027,0.5612537566532034
Costa Rica,2017,2018,0.1717339898648175,2022,0.22625646900465568,2027,0.4704590339994297
Croatia,2017,2018,0.189561923242857,2022,0.2561854766288524,2027,0.4009879513121706
Cuba,2017,2018,0.18029136577502747,2022,0.2999857673062,2027,0.6824619946967234
Cyprus,2017,2018,1.2129133494152144,2022,0.7944963039557926,2027,0.9472818021034541
Czech Republic,2017,2018,1.5262877568163864,2022,0.7706344099053986,2027,0.7796600927929294
Czechoslovakia,2017,2018,0.15420311677519374,2022,0.1653512194035345,2027,0.2983832245575213
Democratic Republic of the Congo,2017,2018,34.0577434866923,2022,23.017258297062387,2027,30.44671945553147
Denmark,2017,2018,0.6906396774712413,2022,0.746470511604471,2027,1.4455514658619792
Djibouti,2017,2018,0.34306587355137796,2022,0.2871141829286183,2027,0.39117205558532886
Dominica,2017,2018,0.07349023124349972,2022,0.0699771030776735,2027,0.13837880456549875
Dominican Republic,2017,2018,0.22120132219693775,2022,0.33164067388448387,2027,0.5665514818695483
East Germany (GDR),2017,2018,0.15420311677519374,2022,0.16535121940353445,2027,0.29838322455752125
East Timor,2017,2018,0.1412741006783795,2022,0.19168201642636337,2027,0.18321396868091505
Ecuador,2017,2018,0.6938206102813116,2022,1.3831314496771263,2027,2.3575053322660326
Egypt,2017,2018,63.52794123065965,2022,56.52763176429541,2027,54.927601026607256
El Salvador,2017,2018,0.1788669344696998,2022,0.31174778294573474,2027,0.6268784630983777
Equatorial Guinea,2017,2018,0.14274657898307144,2022,0.16142258169797008,2027,0.37976154594159983
Eritrea,2017,2018,0.26693449145486187,2022,0.32075440471965316,2027,0.6853127063614903
Estonia,2017,2018,0.4243926241447751,2022,0.34578539321283847,2027,0.49654556398293764
Ethiopia,2017,2018,6.2676638797304465,2022,10.432131915196035,2027,33.79288643848549
Falkland Islands,2017,2018,0.06892180613143786,2022,0.074689983423417,2027,0.10387670312268889
Fiji,2017,2018,0.15009791262636873,2022,0.16499268756490398,2027,0.18626385060890557
Finland,2017,2018,1.4336422694720534,2022,1.4855192518904556,2027,1.6095537343712598
France,2017,2018,20.296587305438162,2022,14.033866278119277,2027,24.45781943323331
