Country,mean_attacks,mean_fatalities,attack_slope,cluster
People's Republic of the Congo,0.08333333333333333,11.25,-0.007164567954841766,3
Peru,127.0,283.8958333333333,-3.9775293095963695,0
Philippines,143.91666666666666,207.41666666666666,9.132327399044929,0
Poland,0.8125,0.3958333333333333,0.005807642205818209,3
Portugal,2.9166666666666665,0.7291666666666666,-0.17694311767260762,3
Qatar,0.14583333333333334,1.3333333333333333,0.0036365610073816838,3
Republic of the Congo,0.75,9.104166666666666,0.04624402952670572,3
Rhodesia,1.7291666666666667,35.1875,-0.1312961354754709,3
Romania,0.125,0.5833333333333334,-0.0006513243595310978,3
Russia,45.708333333333336,106.04166666666667,3.058293530178073,0
Rwanda,3.3125,73.83333333333333,0.07929874077290523,3
Saudi Arabia,7.729166666666667,17.083333333333332,0.7781697785497416,3
Senegal,2.4583333333333335,8.854166666666666,0.07338254450716482,3
Serbia,0.25,1.7291666666666667,0.02171081198436853,3
Serbia-Montenegro,0.22916666666666666,1.4375,0.012537993920972785,3
Seychelles,0.041666666666666664,0.0,-0.0027138514980460738,3
Sierra Leone,2.1041666666666665,92.6875,0.03869952236213706,3
Singapore,0.14583333333333334,0.5833333333333334,-0.004830655666522084,3
Slovak Republic,0.375,0.14583333333333334,0.008141554494137952,3
Slovenia,0.125,0.5416666666666666,0.0019539730785930213,3
Solomon Islands,0.08333333333333333,1.5833333333333333,0.0032566217976552464,3
Somalia,86.29166666666667,214.1875,8.643834129396662,0
South Africa,42.0,70.875,-0.6920321320017757,3
South Korea,0.7916666666666666,0.6041666666666666,-0.005644811115936051,3
South Sudan,4.6875,114.375,0.5344659140252007,3
South Vietnam,0.020833333333333332,81.0,-0.002333912288319638,3
South Yemen,0.041666666666666664,0.0,-0.003582283977420867,3
Soviet Union,1.625,18.666666666666668,-0.028006947459837273,3
Spain,67.6875,27.4375,-2.4615175857578104,3
Sri Lanka,62.958333333333336,344.2916666666667,0.38960052105944565,0
St. Kitts and Nevis,0.041666666666666664,0.0,0.00032566217976558393,3
St. Lucia,0.020833333333333332,2.0,0.0007056013894919779,3
Sudan,20.145833333333332,100.4375,1.8830330004342655,3
Suriname,1.375,0.6041666666666666,-0.03571428571428784,3
Swaziland,0.3333333333333333,0.22916666666666666,0.004016500217107978,3
Sweden,2.75,0.8125,0.16630481980026482,3
Switzerland,2.3125,2.0833333333333335,-0.08971993052540338,3
Syria,45.854166666666664,318.625,4.5178571428572765,0
Taiwan,1.0416666666666667,4.270833333333333,0.011072514112027828,3
Tajikistan,3.9166666666666665,13.770833333333334,0.0779418150238822,3
Tanzania,1.2291666666666667,2.2916666666666665,0.10187798523665065,3
Thailand,80.1875,58.020833333333336,6.887809379070923,0
Togo,1.0,2.75,-0.005319148936170395,3
Trinidad and Tobago,0.4583333333333333,0.125,0.007598784194528935,3
Tunisia,2.2708333333333335,14.083333333333334,0.2027247069040439,3
Turkey,89.41666666666667,169.25,2.6325445071646327,0
Turkmenistan,0.041666666666666664,0.25,0.0031480677377334495,3
Uganda,8.208333333333334,69.9375,0.20364741641337417,3
Ukraine,35.604166666666664,47.166666666666664,3.838742943986221,3
United Arab Emirates,0.4583333333333333,5.145833333333333,-0.00825010855406027,3
United Kingdom,109.0625,73.0,-2.6235887972211116,0
United States,59.083333333333336,78.60416666666667,-2.929331306990751,3
Uruguay,1.7083333333333333,0.14583333333333334,-0.12603126356924518,3
Uzbekistan,0.4375,3.9375,0.01850846721667416,3
Vanuatu,0.041666666666666664,0.0,0.0005427702996091252,3
Vatican City,0.020833333333333332,0.0,-0.0013569257490230369,3
Venezuela,6.104166666666667,5.291666666666667,-0.01655449413808363,3
Vietnam,0.25,0.08333333333333333,0.009444203213200345,3
Wallis and Futuna,0.020833333333333332,0.0,5.4277029960938247e-05,3
West Bank and Gaza Strip,46.395833333333336,33.333333333333336,1.9585866261398608,3
West Germany (FRG),11.270833333333334,2.5833333333333335,-0.8105188884064444,3
Western Sahara,0.10416666666666667,0.125,-0.002225358228397864,3
Yemen,69.72916666666667,184.02083333333334,7.203050369084003,0
Yugoslavia,4.229166666666667,2.8125,0.06366695614415724,3
Zaire,1.0416666666666667,13.791666666666666,-0.010421189752497647,3
Zambia,1.2916666666666667,3.2291666666666665,-0.015089014329137528,3
Zimbabwe,2.1041666666666665,6.0625,-0.029363873208859734,3
